Job runs on node:
eu-g9-028-1
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 300 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -jx

Epoch 1, 	Batch:0, 	Train Loss = 0.712752, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 1.026771, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 1.049622, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 1.058878, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 1.040113, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 1.067455, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 1.067317, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.088883, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 1.583092, 	Val Loss = 1.529898
Epoch 2, 	Batch:1, 	Train Loss = 1.658705, 	Val Loss = 1.529898
Epoch 2, 	Batch:2, 	Train Loss = 1.562449, 	Val Loss = 1.529898
Epoch 2, 	Batch:3, 	Train Loss = 1.550652, 	Val Loss = 1.529898
Epoch 2, 	Batch:4, 	Train Loss = 1.509684, 	Val Loss = 1.529898
Epoch 2, 	Batch:5, 	Train Loss = 1.407241, 	Val Loss = 1.529898
Epoch 2, 	Batch:6, 	Train Loss = 1.407367, 	Val Loss = 1.529898
Epoch 2, 	Batch:7, 	Train Loss = 1.341075, 	Val Loss = 1.529898
Epoch 3, 	Batch:0, 	Train Loss = 0.637311, 	Val Loss = 0.934322
Epoch 3, 	Batch:1, 	Train Loss = 1.183557, 	Val Loss = 0.934322
Epoch 3, 	Batch:2, 	Train Loss = 1.283009, 	Val Loss = 0.934322
Epoch 3, 	Batch:3, 	Train Loss = 1.239372, 	Val Loss = 0.934322
Epoch 3, 	Batch:4, 	Train Loss = 1.175809, 	Val Loss = 0.934322
Epoch 3, 	Batch:5, 	Train Loss = 1.214515, 	Val Loss = 0.934322
Epoch 3, 	Batch:6, 	Train Loss = 1.189540, 	Val Loss = 0.934322
Epoch 3, 	Batch:7, 	Train Loss = 1.183146, 	Val Loss = 0.934322
Epoch 4, 	Batch:0, 	Train Loss = 1.053046, 	Val Loss = 1.073661
Epoch 4, 	Batch:1, 	Train Loss = 1.211686, 	Val Loss = 1.073661
Epoch 4, 	Batch:2, 	Train Loss = 1.344934, 	Val Loss = 1.073661
Epoch 4, 	Batch:3, 	Train Loss = 1.394872, 	Val Loss = 1.073661
Epoch 4, 	Batch:4, 	Train Loss = 1.393124, 	Val Loss = 1.073661
Epoch 4, 	Batch:5, 	Train Loss = 1.341009, 	Val Loss = 1.073661
Epoch 4, 	Batch:6, 	Train Loss = 1.367195, 	Val Loss = 1.073661
Epoch 4, 	Batch:7, 	Train Loss = 1.367347, 	Val Loss = 1.073661
Epoch 5, 	Batch:0, 	Train Loss = 0.639768, 	Val Loss = 1.466870
Epoch 5, 	Batch:1, 	Train Loss = 1.088281, 	Val Loss = 1.466870
Epoch 5, 	Batch:2, 	Train Loss = 0.946390, 	Val Loss = 1.466870
Epoch 5, 	Batch:3, 	Train Loss = 1.066799, 	Val Loss = 1.466870
Epoch 5, 	Batch:4, 	Train Loss = 0.981053, 	Val Loss = 1.466870
Epoch 5, 	Batch:5, 	Train Loss = 1.016808, 	Val Loss = 1.466870
Epoch 5, 	Batch:6, 	Train Loss = 1.022004, 	Val Loss = 1.466870
Epoch 5, 	Batch:7, 	Train Loss = 1.053767, 	Val Loss = 1.466870
Epoch 6, 	Batch:0, 	Train Loss = 1.448978, 	Val Loss = 0.735764
Epoch 6, 	Batch:1, 	Train Loss = 1.322006, 	Val Loss = 0.735764
Epoch 6, 	Batch:2, 	Train Loss = 1.404217, 	Val Loss = 0.735764
Epoch 6, 	Batch:3, 	Train Loss = 1.302450, 	Val Loss = 0.735764
