Job runs on node:
eu-g9-024-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=3
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=25
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 3 -b 25 -e 300 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 2.381725, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.588568, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.736053, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.769799, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 1.896559, 	Val Loss = 1.877705
Epoch 2, 	Batch:1, 	Train Loss = 2.115305, 	Val Loss = 1.877705
Epoch 2, 	Batch:2, 	Train Loss = 2.398248, 	Val Loss = 1.877705
Epoch 2, 	Batch:3, 	Train Loss = 2.387781, 	Val Loss = 1.877705
Epoch 3, 	Batch:0, 	Train Loss = 2.748249, 	Val Loss = 2.459934
Epoch 3, 	Batch:1, 	Train Loss = 2.772273, 	Val Loss = 2.459934
Epoch 3, 	Batch:2, 	Train Loss = 2.503369, 	Val Loss = 2.459934
Epoch 3, 	Batch:3, 	Train Loss = 2.354706, 	Val Loss = 2.459934
Epoch 4, 	Batch:0, 	Train Loss = 1.510016, 	Val Loss = 3.026613
Epoch 4, 	Batch:1, 	Train Loss = 1.816356, 	Val Loss = 3.026613
Epoch 4, 	Batch:2, 	Train Loss = 1.986121, 	Val Loss = 3.026613
Epoch 4, 	Batch:3, 	Train Loss = 1.909127, 	Val Loss = 3.026613
Epoch 5, 	Batch:0, 	Train Loss = 1.678142, 	Val Loss = 2.974834
Epoch 5, 	Batch:1, 	Train Loss = 1.838889, 	Val Loss = 2.974834
Epoch 5, 	Batch:2, 	Train Loss = 1.987618, 	Val Loss = 2.974834
Epoch 5, 	Batch:3, 	Train Loss = 2.247070, 	Val Loss = 2.974834
Epoch 6, 	Batch:0, 	Train Loss = 2.118151, 	Val Loss = 1.972043
Epoch 6, 	Batch:1, 	Train Loss = 2.269458, 	Val Loss = 1.972043
Epoch 6, 	Batch:2, 	Train Loss = 2.476104, 	Val Loss = 1.972043
Epoch 6, 	Batch:3, 	Train Loss = 2.482720, 	Val Loss = 1.972043
Epoch 7, 	Batch:0, 	Train Loss = 2.015545, 	Val Loss = 3.084646
Epoch 7, 	Batch:1, 	Train Loss = 2.437548, 	Val Loss = 3.084646
Epoch 7, 	Batch:2, 	Train Loss = 2.336789, 	Val Loss = 3.084646
Epoch 7, 	Batch:3, 	Train Loss = 2.199905, 	Val Loss = 3.084646
Epoch 8, 	Batch:0, 	Train Loss = 2.178044, 	Val Loss = 1.829350
Epoch 8, 	Batch:1, 	Train Loss = 2.564385, 	Val Loss = 1.829350
Epoch 8, 	Batch:2, 	Train Loss = 2.461098, 	Val Loss = 1.829350
Epoch 8, 	Batch:3, 	Train Loss = 2.287109, 	Val Loss = 1.829350
Epoch 9, 	Batch:0, 	Train Loss = 2.097140, 	Val Loss = 2.151518
Epoch 9, 	Batch:1, 	Train Loss = 2.349711, 	Val Loss = 2.151518
Epoch 9, 	Batch:2, 	Train Loss = 2.214030, 	Val Loss = 2.151518
Epoch 9, 	Batch:3, 	Train Loss = 2.295041, 	Val Loss = 2.151518
Epoch 10, 	Batch:0, 	Train Loss = 2.688097, 	Val Loss = 2.127597
Epoch 10, 	Batch:1, 	Train Loss = 2.320626, 	Val Loss = 2.127597
Epoch 10, 	Batch:2, 	Train Loss = 2.202271, 	Val Loss = 2.127597
Epoch 10, 	Batch:3, 	Train Loss = 2.065532, 	Val Loss = 2.127597
Epoch 11, 	Batch:0, 	Train Loss = 2.274371, 	Val Loss = 2.974834
Epoch 11, 	Batch:1, 	Train Loss = 2.135482, 	Val Loss = 2.974834
Epoch 11, 	Batch:2, 	Train Loss = 2.455500, 	Val Loss = 2.974834
