Job runs on node:
eu-g9-013-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=2500
OPTSTEP=0.2
BATCHSIZE=100
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 100 -e 2500 -v 0.2 -sz 0.2 -of 'runs/ee' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 0.599982, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.444308, 	Val Loss = 0.453077
Epoch 3, 	Batch:0, 	Train Loss = 0.266396, 	Val Loss = 0.274519
Epoch 4, 	Batch:0, 	Train Loss = 0.281105, 	Val Loss = 0.287467
Epoch 5, 	Batch:0, 	Train Loss = 0.227642, 	Val Loss = 0.232455
Epoch 6, 	Batch:0, 	Train Loss = 0.176165, 	Val Loss = 0.181729
Epoch 7, 	Batch:0, 	Train Loss = 0.190657, 	Val Loss = 0.189874
Epoch 8, 	Batch:0, 	Train Loss = 0.131288, 	Val Loss = 0.135026
Epoch 9, 	Batch:0, 	Train Loss = 0.162852, 	Val Loss = 0.163709
Epoch 10, 	Batch:0, 	Train Loss = 0.141918, 	Val Loss = 0.140624
Epoch 11, 	Batch:0, 	Train Loss = 0.148486, 	Val Loss = 0.149153
Epoch 12, 	Batch:0, 	Train Loss = 0.155721, 	Val Loss = 0.156397
Epoch 13, 	Batch:0, 	Train Loss = 0.108153, 	Val Loss = 0.109163
Epoch 14, 	Batch:0, 	Train Loss = 0.124284, 	Val Loss = 0.126359
Epoch 15, 	Batch:0, 	Train Loss = 0.100471, 	Val Loss = 0.104332
Epoch 16, 	Batch:0, 	Train Loss = 0.116216, 	Val Loss = 0.118981
Epoch 17, 	Batch:0, 	Train Loss = 0.102925, 	Val Loss = 0.105576
Epoch 18, 	Batch:0, 	Train Loss = 0.106798, 	Val Loss = 0.108195
Epoch 19, 	Batch:0, 	Train Loss = 0.103242, 	Val Loss = 0.105732
Epoch 20, 	Batch:0, 	Train Loss = 0.103514, 	Val Loss = 0.107352
Epoch 21, 	Batch:0, 	Train Loss = 0.106308, 	Val Loss = 0.110997
Epoch 22, 	Batch:0, 	Train Loss = 0.094781, 	Val Loss = 0.101059
Epoch 23, 	Batch:0, 	Train Loss = 0.097355, 	Val Loss = 0.101418
Epoch 24, 	Batch:0, 	Train Loss = 0.094738, 	Val Loss = 0.097629
Epoch 25, 	Batch:0, 	Train Loss = 0.104374, 	Val Loss = 0.105193
Epoch 26, 	Batch:0, 	Train Loss = 0.095651, 	Val Loss = 0.095472
Epoch 27, 	Batch:0, 	Train Loss = 0.094421, 	Val Loss = 0.097075
Epoch 28, 	Batch:0, 	Train Loss = 0.089271, 	Val Loss = 0.094250
Epoch 29, 	Batch:0, 	Train Loss = 0.089994, 	Val Loss = 0.094050
Epoch 30, 	Batch:0, 	Train Loss = 0.098766, 	Val Loss = 0.101127
Epoch 31, 	Batch:0, 	Train Loss = 0.085768, 	Val Loss = 0.088658
Epoch 32, 	Batch:0, 	Train Loss = 0.089808, 	Val Loss = 0.092195
Epoch 33, 	Batch:0, 	Train Loss = 0.084219, 	Val Loss = 0.085769
Epoch 34, 	Batch:0, 	Train Loss = 0.080971, 	Val Loss = 0.082411
Epoch 35, 	Batch:0, 	Train Loss = 0.089085, 	Val Loss = 0.089327
Epoch 36, 	Batch:0, 	Train Loss = 0.081647, 	Val Loss = 0.083445
Epoch 37, 	Batch:0, 	Train Loss = 0.084116, 	Val Loss = 0.086480
Epoch 38, 	Batch:0, 	Train Loss = 0.082042, 	Val Loss = 0.085018
Epoch 39, 	Batch:0, 	Train Loss = 0.081236, 	Val Loss = 0.084545
Epoch 40, 	Batch:0, 	Train Loss = 0.082249, 	Val Loss = 0.085870
Epoch 41, 	Batch:0, 	Train Loss = 0.078811, 	Val Loss = 0.081769
Epoch 42, 	Batch:0, 	Train Loss = 0.075598, 	Val Loss = 0.078246
Epoch 43, 	Batch:0, 	Train Loss = 0.082399, 	Val Loss = 0.085702
Epoch 44, 	Batch:0, 	Train Loss = 0.079686, 	Val Loss = 0.083143
Epoch 45, 	Batch:0, 	Train Loss = 0.086986, 	Val Loss = 0.088691
Epoch 46, 	Batch:0, 	Train Loss = 0.075484, 	Val Loss = 0.078864
Epoch 47, 	Batch:0, 	Train Loss = 0.078223, 	Val Loss = 0.081994
Epoch 48, 	Batch:0, 	Train Loss = 0.076032, 	Val Loss = 0.080345
Epoch 49, 	Batch:0, 	Train Loss = 0.084825, 	Val Loss = 0.088057
Epoch 50, 	Batch:0, 	Train Loss = 0.075021, 	Val Loss = 0.080385
Epoch 51, 	Batch:0, 	Train Loss = 0.083172, 	Val Loss = 0.088347
Epoch 52, 	Batch:0, 	Train Loss = 0.073714, 	Val Loss = 0.079145
Epoch 53, 	Batch:0, 	Train Loss = 0.078876, 	Val Loss = 0.082642
Epoch 54, 	Batch:0, 	Train Loss = 0.072445, 	Val Loss = 0.077187
Epoch 55, 	Batch:0, 	Train Loss = 0.074619, 	Val Loss = 0.078689
Epoch 56, 	Batch:0, 	Train Loss = 0.069858, 	Val Loss = 0.074275
Epoch 57, 	Batch:0, 	Train Loss = 0.073482, 	Val Loss = 0.076370
Epoch 58, 	Batch:0, 	Train Loss = 0.069632, 	Val Loss = 0.073833
Epoch 59, 	Batch:0, 	Train Loss = 0.073755, 	Val Loss = 0.078662
Epoch 60, 	Batch:0, 	Train Loss = 0.067043, 	Val Loss = 0.071435
Epoch 61, 	Batch:0, 	Train Loss = 0.081394, 	Val Loss = 0.084556
Epoch 62, 	Batch:0, 	Train Loss = 0.071640, 	Val Loss = 0.076372
Epoch 63, 	Batch:0, 	Train Loss = 0.074185, 	Val Loss = 0.078881
Epoch 64, 	Batch:0, 	Train Loss = 0.066077, 	Val Loss = 0.069176
Epoch 65, 	Batch:0, 	Train Loss = 0.065325, 	Val Loss = 0.068811
Epoch 66, 	Batch:0, 	Train Loss = 0.065294, 	Val Loss = 0.069627
Epoch 67, 	Batch:0, 	Train Loss = 0.068266, 	Val Loss = 0.072994
Epoch 68, 	Batch:0, 	Train Loss = 0.063739, 	Val Loss = 0.067706
Epoch 69, 	Batch:0, 	Train Loss = 0.079766, 	Val Loss = 0.082394
Epoch 70, 	Batch:0, 	Train Loss = 0.075589, 	Val Loss = 0.082278
Epoch 71, 	Batch:0, 	Train Loss = 0.068990, 	Val Loss = 0.072923
Epoch 72, 	Batch:0, 	Train Loss = 0.062741, 	Val Loss = 0.065016
Epoch 73, 	Batch:0, 	Train Loss = 0.061553, 	Val Loss = 0.063858
Epoch 74, 	Batch:0, 	Train Loss = 0.060591, 	Val Loss = 0.064014
Epoch 75, 	Batch:0, 	Train Loss = 0.078850, 	Val Loss = 0.085972
Epoch 76, 	Batch:0, 	Train Loss = 0.055689, 	Val Loss = 0.059188
Epoch 77, 	Batch:0, 	Train Loss = 0.096984, 	Val Loss = 0.099301
Epoch 78, 	Batch:0, 	Train Loss = 0.051785, 	Val Loss = 0.054968
Epoch 79, 	Batch:0, 	Train Loss = 0.064302, 	Val Loss = 0.067856
Epoch 80, 	Batch:0, 	Train Loss = 0.051529, 	Val Loss = 0.055420
Epoch 81, 	Batch:0, 	Train Loss = 0.063612, 	Val Loss = 0.065510
Epoch 82, 	Batch:0, 	Train Loss = 0.049724, 	Val Loss = 0.053079
Epoch 83, 	Batch:0, 	Train Loss = 0.056128, 	Val Loss = 0.060484
Epoch 84, 	Batch:0, 	Train Loss = 0.046386, 	Val Loss = 0.050251
Epoch 85, 	Batch:0, 	Train Loss = 0.047785, 	Val Loss = 0.049964
Epoch 86, 	Batch:0, 	Train Loss = 0.050802, 	Val Loss = 0.056554
Epoch 87, 	Batch:0, 	Train Loss = 0.048641, 	Val Loss = 0.054484
Epoch 88, 	Batch:0, 	Train Loss = 0.042806, 	Val Loss = 0.046302
Epoch 89, 	Batch:0, 	Train Loss = 0.044555, 	Val Loss = 0.048632
Epoch 90, 	Batch:0, 	Train Loss = 0.045671, 	Val Loss = 0.050696
Epoch 91, 	Batch:0, 	Train Loss = 0.041555, 	Val Loss = 0.047159
Epoch 92, 	Batch:0, 	Train Loss = 0.044312, 	Val Loss = 0.050378
Epoch 93, 	Batch:0, 	Train Loss = 0.046095, 	Val Loss = 0.052328
Epoch 94, 	Batch:0, 	Train Loss = 0.052622, 	Val Loss = 0.063386
Epoch 95, 	Batch:0, 	Train Loss = 0.046672, 	Val Loss = 0.057720
Epoch 96, 	Batch:0, 	Train Loss = 0.040791, 	Val Loss = 0.047752
Epoch 97, 	Batch:0, 	Train Loss = 0.045104, 	Val Loss = 0.048145
Epoch 98, 	Batch:0, 	Train Loss = 0.044747, 	Val Loss = 0.054585
Epoch 99, 	Batch:0, 	Train Loss = 0.040806, 	Val Loss = 0.050417
Epoch 100, 	Batch:0, 	Train Loss = 0.045877, 	Val Loss = 0.052450
Epoch 101, 	Batch:0, 	Train Loss = 0.036030, 	Val Loss = 0.044633
Epoch 102, 	Batch:0, 	Train Loss = 0.043032, 	Val Loss = 0.053813
Epoch 103, 	Batch:0, 	Train Loss = 0.031667, 	Val Loss = 0.039376
Epoch 104, 	Batch:0, 	Train Loss = 0.030295, 	Val Loss = 0.039584
Epoch 105, 	Batch:0, 	Train Loss = 0.029760, 	Val Loss = 0.038420
Epoch 106, 	Batch:0, 	Train Loss = 0.030475, 	Val Loss = 0.040119
Epoch 107, 	Batch:0, 	Train Loss = 0.042142, 	Val Loss = 0.047187
Epoch 108, 	Batch:0, 	Train Loss = 0.048878, 	Val Loss = 0.059053
Epoch 109, 	Batch:0, 	Train Loss = 0.038564, 	Val Loss = 0.049554
Epoch 110, 	Batch:0, 	Train Loss = 0.060459, 	Val Loss = 0.064741
Epoch 111, 	Batch:0, 	Train Loss = 0.052756, 	Val Loss = 0.058684
Epoch 112, 	Batch:0, 	Train Loss = 0.047847, 	Val Loss = 0.055784
Epoch 113, 	Batch:0, 	Train Loss = 0.038113, 	Val Loss = 0.045953
Epoch 114, 	Batch:0, 	Train Loss = 0.050929, 	Val Loss = 0.053358
Epoch 115, 	Batch:0, 	Train Loss = 0.052142, 	Val Loss = 0.052536
Epoch 116, 	Batch:0, 	Train Loss = 0.055928, 	Val Loss = 0.065015
Epoch 117, 	Batch:0, 	Train Loss = 0.043171, 	Val Loss = 0.050108
Epoch 118, 	Batch:0, 	Train Loss = 0.051623, 	Val Loss = 0.055385
Epoch 119, 	Batch:0, 	Train Loss = 0.029311, 	Val Loss = 0.035453
